UOM_ID,UOM_NAME,UOM_ISO,UOM_DIMENSION,UOM_SAP,UOM_NUMERATOR,UOM_DENOMINATOR,UOM_ROUNDING,UOM_BASE
1,Bag ( Bag ),BG,1,BAG,1,1,0,false
2,Bottle ( Bt. ),BO,2,BOT,1,1,0,false
3,Bushel ( BUA ),BUA,3,BU,1,1,0,false
4,Canister ( Can ),CA,4,KAN,1,1,0,false
5,Carton ( Car ),CT,5,KAR,1,1,0,false
6,Case ( Case ),CS,6,CS,1,1,0,false
7,Crate ( Crate ),BX,7,KI,1,1,0,false
8,Degree ( deg ),DD,8,DEG,1,1,0,false
9,Dozen ( dz ),DPC,9,DZ,1,1,0,false
10,Drum ( Dr ),DR,10,DR,1,1,0,false
11,Gross ( gro ),GRO,11,GRO,1,1,0,false
12,International Unit ( NIU ),NIU,12,IU,1,1,0,false
13,Number of Persons ( PRS ),IE,13,PRS,1,1,0,false
14,Pack ( NMP ),NMP,14,PAK,1,1,0,false
15,Pair ( NPR ),NPR,15,PAA,1,1,0,false
16,Pallet ( PAL ),PF,16,PAL,1,1,0,false
17,Pieces ( C62 ),C62,17,PCE,1,1,0,false
18,Role ( NRL ),NRL,18,ROL,1,1,0,false
19,Thousands ( thou ),MIL,19,TH,1,1,0,false
20,Troy OncesTonne ( APZ ),APZ,20,TOZ,1,1,0,false
21,Each (ST) ( ST ),EA,21,EA,1,1,0,false
22,Meter/second squared ( m/s2 ),MSK,22,MS2,1,1,0,true
23,Mol per cubic meter ( mol/m3 ),C36,23,C36,1,1000,0,false
24,Mol per liter ( Mol/l ),C38,24,C38,1,1,0,true
25,Acre ( acre ),ACR,25,ACR,4046860,1000,0,false
26,Hectare ( Hectar ),HAR,26,HAR,10000,1,0,false
27,Square Yard ( yd2 ),YDK,27,YD2,836126983,10000000000,0,false
28,Square centimeter ( cm2 ),CMK,28,CM2,1,10000,0,false
29,Square foot ( ft2 ),FTK,29,FT2,9290304,100000000,0,false
30,Square inch ( Inch2 ),INK,30,IN2,6451612903,10000000000000,0,false
31,Square kilometer ( km2 ),KMK,31,KM2,1000000,1,0,false
32,Square meter ( m2 ),MTK,32,M2,1,1,0,true
33,Square mile ( Mile2 ),MIK,33,MI2,2589988,1,0,false
34,Square millimeter ( mm2 ),MMK,34,MM2,1,1000000,0,false
35,Siemens per meter ( S/m ),D10,35,D10,1,1,0,true
36,Gram/Cubic meter ( g/m3 ),A93,36,A93,1,1,0,true
37,Gram/cubic centimeter ( g/cm3 ),23,37,RHO,1000000,1,0,false
38,Gram/liter ( g/l ),GL,38,GLI,1000,1,0,false
39,Kilogram/cubic decimeter ( kg/dm3 ),B34,39,B34,1000000,1,0,false
40,Kilogram/cubic meter ( kg/m3 ),KMQ,1,KGV,1000,1,0,false
41,Microgram/cubic meter ( µg/m3 ),GQ,2,GQ,1,1000000,0,false
42,Milligram/cubic meter ( mg/m3 ),GP,3,MGQ,1,1000,0,false
43,Milligram/liter ( mg/l ),M1,4,MGL,1,1,0,false
44,Ton/Cubic meter ( t/m3 ),D41,5,D41,1000000,1,0,false
45,US Pound/US Gallon ( lb/gal ),GE,6,LBG,1601846,100,0,false
46,Millipascal seconds ( mPa.s ),C24,7,MPS,1,1000,0,false
47,Pascal second ( Pas ),C65,8,PAS,1,1,0,true
48,Gigaohm ( GOhm ),A87,9,A87,1000000000,1,0,false
49,Kiloohm ( kOhm ),B49,10,KOH,1000,1,0,false
50,Megohm ( MOhm ),B75,11,B75,1000000,1,0,false
51,Ohm ( Ohm ),OHM,12,OHM,1,1,0,true
52,Ampere ( A ),AMP,13,A,1,1,0,true
53,Kiloampere ( kA ),B22,14,KA,1000,1,0,false
54,Microampere ( µA ),B84,15,B84,1,1000000,0,false
55,Milliampere ( mA ),4K,16,MA,1,1000,0,false
56,Nanoampere ( nA ),C39,17,C39,1,1000000000,0,false
57,Kilovolt ( kV ),KVT,18,KV,1000,1,0,false
58,Megavolt ( MV ),B78,19,B78,1000000,1,0,false
59,Millivolt ( mV ),2Z,20,MV,1,1000,0,false
60,Volt ( V ),VLT,21,V,1,1,0,true
61,Farad ( F ),FAR,22,F,1,1,0,true
62,Microfarad ( µF ),4O,23,4O,1,1000000,0,false
63,Millifarad ( mF ),C10,24,C10,1,1000,0,false
64,Nanofarad ( nF ),C41,25,C41,1,1000000000,0,false
65,Pikofarad ( pF ),4T,26,4T,1,1000000000000,0,false
66,Gigajoule ( GJ ),GV,27,GJ,1000000000,1,0,false
67,Joule ( J ),JOU,28,J,1,1,0,true
68,Kilojoule ( kJ ),KJO,29,KJ,1000,1,0,false
69,Kilowatt hours ( kwh ),KWH,30,KWH,3600000,1,0,false
70,Megajoule ( MJ ),3B,31,MEJ,1000000,1,0,false
71,Megawatt hour ( MWh ),MWH,32,MWH,3600000000,1,0,false
72,Millijoule ( mJ ),C15,33,MJ,1,1000,0,false
73,Kilocalories ( KCAL ),E14,34,CAL,41868,10,0,false
74,Kilonewton ( ND ),B47,35,B47,1000,1,0,false
75,Meganewton ( MN ),B73,36,B73,1000000,1,0,false
76,Newton ( N ),NEW,37,N,1,1,0,true
77,Hertz (1/second) ( Hz ),HTZ,38,HZ,1,1,0,true
78,Kilohertz ( kHz ),KHZ,39,KHZ,1000,1,0,false
79,Megahertz ( MHz ),MHZ,1,MHZ,1000000,1,0,false
80,Revolutions per minute ( r/min ),RPM,2,RPM,1666667,100000000,0,false
81,Heat Conductivity ( W/mk ),D53,3,WMK,1,1,0,true
82,Square meter/second ( m2/s ),S4,4,M2S,1,1,0,true
83,Square millimeter/second ( mm2/s ),C17,5,22S,1,1000000,0,false
84,Centimeter ( cm ),CMT,6,CM,1,100,0,false
85,Decimeter ( dm ),DMT,7,DM,1,10,0,false
86,Foot ( Foot ),FOT,8,FT,3048,10000,0,false
87,Inch,INH,9,IN,254,10000,0,false
88,Kilometer ( km ),KMT,10,KM,1000,1,0,false
89,Meter ( m ),MTR,11,M,1,1,0,true
90,Micrometer ( µm ),4H,12,MIM,1,1000000,0,false
91,Mile ( mile ),SMI,13,MI,1609344,1000,0,false
92,Millimeter ( mm ),MMT,14,MM,1,1000,0,false
93,Nanometer ( nm ),C45,15,NAM,1,1000000000,0,false
94,Yards ( yd ),YRD,16,YD,9144,10000,0,false
95,Candela ( cd ),CDL,17,CD,1,1,0,true
96,Millitesla ( mT ),C29,18,MTE,1,1000,0,false
97,Tesla ( D ),D33,19,TES,1,1,0,true
98,Gram ( g ),GRM,20,G,1,1,0,true
99,Kilotonne ( kt ),KTN,21,KT,1000000000,1,0,false
100,Milligram ( mg ),MGM,22,MG,1,1000,0,false
101,Ounce ( oz ),ONZ,23,OZ,28349523125,1000000000,0,false
102,Tonne ( t ),TNE,24,TO,1000000,1,0,false
103,US pound ( lb ),LBR,25,LB,45359237,100000,0,false
104,US ton ( ton ),STN,26,TON,9071847,10,0,false
105,Kg ( KG ),KGM,27,KG,1000,1,0,false
106,Gram/square meter ( g/m2 ),GM,28,GM2,1,1,0,true
107,Kilogram/Square meter ( kg/m2 ),28,29,KGF,1000,1,0,false
108,Kilogram/second ( kg/s ),KGS,30,KGS,1000,1,0,false
109,Joule/Mol ( J/mol ),B15,31,JMO,1,1,0,true
110,Kilojoule/Mol ( KJ/mol ),B44,32,KJM,1000,1,0,false
111,Gram/Mol ( g/mol ),A94,33,GM,1,1,0,true
112,Kilogram/Mol ( kg/mol ),D74,34,KGM,1000,1,0,false
113,Kilomol ( kmol ),B45,35,B45,1000,1,0,false
114,Millimol ( mmol ),C18,36,MMO,1,1000,0,false
115,Mol ( mol ),C34,37,MOL,1,1,0,true
116,Kilovoltampere ( kVA ),KVA,38,KVA,1000,1,0,false
117,Kilowatt ( KW ),KWT,39,KW,1000,1,0,false
118,Megavoltampere ( MVA ),MVA,1,MVA,1000000,1,0,false
119,Megawatt ( VA ),MAW,2,MGW,1000000,1,0,false
120,Milliwatt ( mW ),C31,3,MW,1,1000,0,false
121,Voltampere ( VAM ),D46,4,D46,1,1,0,false
122,Watt ( W ),WTT,5,W,1,1,0,false
123,Hectopascal ( hPa ),A97,6,HPA,1,1000,0,false
124,Joule/Cubic Meter ( J/m3 ),B8,7,JM3,1,100000,0,false
125,Kilopascal ( kPa ),KPA,8,KPA,1,100,0,false
126,Megapascal ( MPa ),MPA,9,MPA,10,1,0,false
127,Millibar ( mbar ),MBR,10,MBA,1,1000,0,false
128,Newton/Square millimeter ( N/mm2 ),C56,11,C56,10,1,0,false
129,Pascal ( Pa ),PAL,12,PA,1,100000,0,false
130,Bar ( bar ),BAR,13,BAR,1,1,0,true
131,Parts per billion ( ppb ),61,14,PPB,1,1000000000,0,false
132,Parts per million ( ppm ),59,15,PPM,1,1000000,0,false
133,Parts per thousand ( ppt ),NX,16,PPT,1,1000,0,false
134,Percentage ( % ),P1,17,P1,1,100,0,false
135,Specific Electrical Resistance ( Ohmm ),C61,18,OM,1,1,0,true
136,Specific Heat Capacity ( J/kgK ),B11,19,JKK,1,1,0,true
137,Mol/kilogram ( mol/kg ),C19,20,MOK,1,1,0,true
138,Becquerel/kilogram ( Bq/kg ),A18,21,BQK,1,1,0,false
139,Kilobecquerel/kilogram ( kBq/kg ),B25,22,KBK,1000,1,0,false
140,Joule/Kilogram ( J/kg ),J2,23,JKG,1,1,0,true
141,Kilojoule/kilogram ( KJ/kg ),B42,24,KJK,1000,1,0,false
142,Centimeter/second ( cm/s ),2M,25,2M,1,100,0,false
143,Kilometer/hour ( km/h ),KMH,26,KMH,277778,1000000,0,false
144,Meter/Minute ( m/min ),2X,27,2X,1666667,100000000,0,false
145,Meter/second ( m/s ),MTS,28,M/S,1,1,0,true
146,Millimeter/second ( mm/s ),C16,29,MMS,1,1000,0,false
147,Millinewton/meter ( mN/m ),C22,30,MNM,1,1000,0,false
148,Newton/meter ( N/m ),4P,31,NM,1,1,0,true
149,Degrees Celsius ( °C ),CEL,32,GC,27415,100,0,false
150,Fahrenheit ( °F ),FAH,33,FA,2559278,10000,0,false
151,Kelvin ( K ),KEL,34,K,1,1,0,true
152,Days ( Days ),DAY,35,TAG,86400,1,0,false
153,Hour ( h ),HUR,36,H,3600,1,0,false
154,Microsecond ( µs ),B98,37,MIS,1,1000000,0,false
155,Millisecond ( ms ),C26,38,MS,1,1000,0,false
156,Minute ( min ),MIN,39,MIN,60,1,0,false
157,Months ( Months ),MON,1,MON,2629700,1,0,false
158,Nanosecond ( ns ),C47,2,NS,1,1000000000,0,false
159,Second ( s ),SEC,3,S,1,1,0,true
160,Weeks ( Weeks ),WEE,4,WCH,604800,1,0,false
161,Years ( yr ),ANN,5,JHR,31556950,1,0,false
162,Centiliter ( Cl ),CLT,6,CTL,1,100,0,false
163,Cubic centimeter ( cm3 ),CMQ,7,CCM,1,1000,0,false
164,Cubic decimeter ( dm3 ),DMQ,8,CDM,1,1,0,false
165,Cubic foot ( ft3 ),FTQ,9,FT3,28316846,1000000000,0,false
166,Cubic inch ( Inch3 ),INQ,10,IN3,16387,1000000000,0,false
167,Cubic meter ( m3 ),MTQ,11,M3,1,1,0,true
168,Cubic millimeter ( mm3 ),MMQ,12,MMQ,1,1000000000,0,false
169,Cubic yard ( yd3 ),YDQ,13,YD3,764554857,1000000000,0,false
170,Fluid Ounce US ( foz US ),OZA,14,OZA,29573,1000000000,0,false
171,Hectoliter ( hl ),HLT,15,HL,1,10,0,false
172,Liter ( l ),LTR,16,L,1,1000,0,false
173,Microliter ( µl ),4G,17,4G,1,1000000000,0,false
174,Milliliter ( ml ),MLT,18,ML,1,1000000,0,false
175,Pint US liquid ( pt US ),PT,19,PT,55061,100000000,0,false
176,Quart US liquid ( qt US ),QTL,20,QT,110122,100000000,0,false
177,US gallon ( gal US ),GLL,21,GLL,440488,100000000,0,false
178,Cubic centimeter/second ( cm3/s ),2J,22,C3S,1,1000000,0,false
179,Cubic meter/Hour ( m3/h ),MQH,23,MQH,277778,1000000000,0,false
180,Cubic meter/day ( m3/d ),G52,24,M3D,6666672,1000000000,0,false
181,Cubic meter/second ( m3/s ),MQS,25,M3S,1,1,0,true
182,Liter per hour ( L/hr ),E32,26,LPH,2778,10000000000,0,false
183,Liter/Minute ( l/min ),L2,27,L2,1667,100000000,0,false